OBJECTID,Basin_Number,Basin_Subbasin_Number,Basin_Name,Basin_Subbasin_Name,Region_Office,GlobalID
1,9-029,9-029,POTRERO VALLEY,POTRERO VALLEY,SRO,{CBE7A0FF-D6FB-40C8-80A4-71D8540DDC26}
2,7-047,7-047,JACUMBA VALLEY,JACUMBA VALLEY,SRO,{0C1DE68E-5393-4D2C-9EE2-2A8559819902}
3,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,SRO,{51D4B0C9-1611-4602-814B-E1773020F070}
4,7-061,7-061,DAVIES VALLEY,DAVIES VALLEY,SRO,{40BFC1BD-8FB4-42EA-B673-E53036F4CFB8}
5,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,SRO,{45D601F5-439F-40DD-9745-2CA755DAA8F4}
6,9-016,9-016,EL CAJON VALLEY,EL CAJON VALLEY,SRO,{36BA34CE-E3B2-4C36-95DB-D6343F81499C}
7,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,SRO,{44A425ED-72FF-41C6-A04A-72BACDD373FD}
8,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,SRO,{5FB57B99-C235-402C-8EC0-D5A32D87EEF1}
9,9-013,9-013,POWAY VALLEY,POWAY VALLEY,SRO,{EA8CA3E8-0CE3-42CD-889E-2CEDD137CE34}
10,9-012,9-012,SAN DIEGUITO CREEK,SAN DIEGUITO CREEK,SRO,{9E9D32DE-04B7-407D-8049-C41981890625}
11,7-059,7-059,MASON VALLEY,MASON VALLEY,SRO,{EEC3324F-E752-4303-910B-ED8780ADBB9F}
12,9-023,9-023,SAN ELIJO VALLEY,SAN ELIJO VALLEY,SRO,{0E3D8580-5220-4016-BC88-7EA72867D3DD}
13,7-028,7-028,VALLECITO-CARRIZO VALLEY,VALLECITO-CARRIZO VALLEY,SRO,{2D471ECA-C468-47AE-9DF1-6F44D5AB1C0B}
14,9-011,9-011,SANTA MARIA VALLEY,SANTA MARIA VALLEY,SRO,{D237CA3F-31FC-4688-87C8-83A7A16C93DE}
15,7-036,7-036,YUMA VALLEY,YUMA VALLEY,SRO,{FAC8734B-0958-41A6-916D-22FC882A7291}
16,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,SRO,{B8E560F9-019B-4E02-B7A0-FC55E25C31C2}
17,7-035,7-035,OGILBY VALLEY,OGILBY VALLEY,SRO,{303363B7-0E03-4A32-BDB2-BA4A71C3BC3A}
18,9-032,9-032,SAN MARCOS AREA,SAN MARCOS AREA,SRO,{6C2AA4A4-ACBE-480B-ABD8-681280F863BB}
19,9-009,9-009,ESCONDIDO VALLEY,ESCONDIDO VALLEY,SRO,{6801DB68-0E3D-4CF1-A0CE-954ED6AEF02A}
20,7-056,7-056,YAQUI WELL AREA,YAQUI WELL AREA,SRO,{ED3DEF7E-A95A-4D61-8B92-8F6AD337DBCC}
21,9-024,9-024,PAMO VALLEY,PAMO VALLEY,SRO,{A330AC2E-F919-40A2-9D2E-E63043F58AC2}
22,7-027,7-027,SAN FELIPE VALLEY,SAN FELIPE VALLEY,SRO,{C20412E3-F6E0-4608-B2FA-1CA40AF9ACF1}
23,9-025,9-025,RANCHITA TOWN AREA,RANCHITA TOWN AREA,SRO,{2EDE17AA-9B4D-47DD-A9DE-0E984B472386}
24,7-034,7-034,AMOS VALLEY,AMOS VALLEY,SRO,{8548DA3F-C2DE-47A8-9BB7-866379BA4D08}
25,9-008,9-008,WARNER VALLEY,WARNER VALLEY,SRO,{150A2890-DDC4-4507-AED0-CA311605631C}
26,7-030,7-030,IMPERIAL VALLEY,IMPERIAL VALLEY,SRO,{8E1DDE46-7360-44F4-8E42-9377D5B72B0D}
27,9-003,9-003,SAN ONOFRE VALLEY,SAN ONOFRE VALLEY,SRO,{0A0C9167-1B22-4917-8A80-CF7CC95CDABE}
28,7-022,7-022,WEST SALTON SEA,WEST SALTON SEA,SRO,{7EDC2005-16B4-4B8F-9DF8-42E95861B9CB}
29,9-002,9-002,SAN MATEO VALLEY,SAN MATEO VALLEY,SRO,{BC0844CF-0393-444C-AB26-0E763FCC082D}
30,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,SRO,{CDCFDFAF-D0B4-4D85-B2D6-56B774E168AD}
31,7-033,7-033,EAST SALTON SEA,EAST SALTON SEA,SRO,{607F221B-AEE1-423A-84BC-2F1663B2E78A}
32,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,SRO,{845AFB85-C405-41E0-AC11-DBB5822AE020}
33,7-026,7-026,TERWILLIGER VALLEY,TERWILLIGER VALLEY,SRO,{CE88D59A-6B17-4229-85AB-AD635D17F04A}
34,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,SRO,{5D7EB200-F439-4CA4-9F59-EA8F3D0CA707}
35,7-063,7-063,VANDEVENTER FLAT,VANDEVENTER FLAT,SRO,{78A88B16-C653-4824-A8B9-DDFBC17578DE}
36,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,SRO,{2162D686-DD59-410D-959C-DC2D4FB97026}
37,9-005,9-005,TEMECULA VALLEY,TEMECULA VALLEY,SRO,{C7188705-FE93-40E3-958F-E77CA617685C}
38,9-001,9-001,SAN JUAN VALLEY,SAN JUAN VALLEY,SRO,{02D539AE-3257-41F3-A3A5-15C1D17C16B4}
39,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,SRO,{DA3F813A-F077-44A8-B5E2-2E1F71E07E00}
40,8-006,8-006,HEMET LAKE VALLEY,HEMET LAKE VALLEY,SRO,{2B6A5C20-067A-4009-96D6-2AA92A5B8938}
41,7-031,7-031,OROCOPIA VALLEY,OROCOPIA VALLEY,SRO,{ED1015A3-4D76-42F6-A7ED-93106C51D126}
42,7-038,7-038,PALO VERDE VALLEY,PALO VERDE VALLEY,SRO,{7F17113A-B400-4B92-988A-C6DC213B6F27}
43,7-039,7-039,PALO VERDE MESA,PALO VERDE MESA,SRO,{8FBFA600-DE2D-4DC2-8E6F-EC7550D4C1BD}
44,7-021,7-021.01,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,SRO,{DB59A361-0676-4DE5-BA12-040358C32C9F}
45,7-052,7-052,PLEASANT VALLEY,PLEASANT VALLEY,SRO,{D76F9963-AC9A-4DCB-814C-49161681E438}
46,7-040,7-040,QUIEN SABE POINT VALLEY,QUIEN SABE POINT VALLEY,SRO,{66CF75DC-D9C2-467B-AC15-861ADC35229D}
47,7-021,7-021.03,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,SRO,{B4CBA65B-42DB-4866-B3B1-51A1E7D6C281}
48,4-022,4-022,MALIBU VALLEY,MALIBU VALLEY,SRO,{86D6CF11-D8AD-4513-AFA6-7A0935B4605B}
49,7-021,7-021.04,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,SRO,{C94CE9D2-EB10-43FF-B8B2-10A0DDB56DE2}
50,7-053,7-053,HEXIE MOUNTAIN AREA,HEXIE MOUNTAIN AREA,SRO,{ADAD1C09-7AC7-47FE-8EAB-C4A04C2DF348}
51,4-011,4-011.01,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,SRO,{CA2C76CD-D0C4-412D-A1C4-6AAF729DB519}
52,7-021,7-021.02,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,SRO,{30DD18B4-795A-40AE-B052-382A6BE450C8}
53,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,SRO,{78902BDE-6B2D-456A-991E-DD819C35F789}
54,4-011,4-011.02,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,SRO,{B105E36A-18A7-4C09-87A2-30313DFB4DD2}
55,7-051,7-051,LOST HORSE VALLEY,LOST HORSE VALLEY,SRO,{7EFC11F0-6DFF-4F9B-AF5A-A5512D455196}
56,7-020,7-020,MORONGO VALLEY,MORONGO VALLEY,SRO,{6E2D85E8-C44C-4F66-97A5-36E81282912E}
57,4-016,4-016,HIDDEN VALLEY,HIDDEN VALLEY,SRO,{169CAE82-404E-4904-928E-FB21787D81C7}
58,7-006,7-006,PINTO VALLEY,PINTO VALLEY,SRO,{CAA00C4C-624D-4A9F-A5E0-9524A506CB1B}
59,4-019,4-019,THOUSAND OAKS AREA,THOUSAND OAKS AREA,SRO,{92C235D1-E33E-4282-9305-9F4117018D77}
60,4-020,4-020,RUSSELL VALLEY,RUSSELL VALLEY,SRO,{BAABB0D5-6093-434C-AE36-C5235369DF33}
61,8-008,8-008,SEVEN OAKS VALLEY,SEVEN OAKS VALLEY,SRO,{EAD2E4FC-6C04-4740-9FE4-D84841152BC3}
62,4-010,4-010,CONEJO,CONEJO,SRO,{997229BE-708B-4C3E-872E-01C890257FA4}
63,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,SRO,{FA3E2BA9-DD5C-4EB2-A33D-70CCBF247C7C}
64,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,SRO,{3174380C-EE44-4079-B9BC-C554419C0995}
65,4-015,4-015,TIERRA REJADA,TIERRA REJADA,SRO,{8E0ABFBE-F6C8-4736-9AE2-2BAEB344E317}
66,7-004,7-004,RICE VALLEY,RICE VALLEY,SRO,{D08FE34C-ECFA-4D5B-B4ED-7921297D2B00}
67,4-009,4-009,SIMI VALLEY,SIMI VALLEY,SRO,{8D93F5AC-4605-4E68-9E8D-A3D1E21CEABE}
68,7-049,7-049,PIPES CANYON FAULT VALLEY,PIPES CANYON FAULT VALLEY,SRO,{B6DB624A-D820-4871-9C45-55AA625085AC}
69,4-012,4-012,SAN FERNANDO VALLEY,SAN FERNANDO VALLEY,SRO,{FBEA6C63-1C30-472A-8B0B-008CC7C451EF}
70,7-010,7-010,TWENTYNINE PALMS VALLEY,TWENTYNINE PALMS VALLEY,SRO,{89384D7C-95EC-40A4-9A09-A4937C95A2B7}
71,7-048,7-048,HELENDALE FAULT VALLEY,HELENDALE FAULT VALLEY,SRO,{AEE3DF1B-0D5A-4FC5-89FF-D7911146364E}
72,4-003,4-003.02,VENTURA RIVER VALLEY,VENTURA RIVER VALLEY - LOWER VENTURA RIVER,SRO,{242AB82B-0F72-4258-9B3B-33ED5F48F619}
73,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,SRO,{65CAA4EC-DA4C-4532-B783-870E12515BFE}
74,3-017,3-017,SANTA BARBARA,SANTA BARBARA,SRO,{5856235E-101D-49DD-82D6-E48586A1554F}
75,7-042,7-042,VIDAL VALLEY,VIDAL VALLEY,SRO,{42F158C9-FA7B-4EA4-B472-E129D78E5A89}
76,7-013,7-013.02,DEADMAN VALLEY,DEADMAN VALLEY - SURPRISE SPRING,SRO,{D8797B7E-DCB3-4FBA-AC0D-D6505ECBE49D}
77,4-001,4-001,UPPER OJAI VALLEY,UPPER OJAI VALLEY,SRO,{BF462E28-8FA3-4101-B59A-0E068D265A07}
78,3-016,3-016,GOLETA,GOLETA,SRO,{419344B8-A45B-42CF-B021-EF7663DE34F3}
79,7-009,7-009,DALE VALLEY,DALE VALLEY,SRO,{31F0BEB8-6741-491E-9868-2804A0046B5B}
80,7-017,7-017,MEANS VALLEY,MEANS VALLEY,SRO,{2893BE30-E43C-4B68-A023-9E0A5CCA39E8}
81,4-005,4-005,ACTON VALLEY,ACTON VALLEY,SRO,{52A7B172-89FD-478F-BB47-6EA4E243888D}
82,7-018,7-018.01,JOHNSON VALLEY,JOHNSON VALLEY - SOGGY LAKE,SRO,{9DC73824-109B-4BEE-982B-DECC4E957DEC}
83,7-016,7-016,AMES VALLEY,AMES VALLEY,SRO,{185A8B05-8C61-4BA2-B1A7-79AEF44D48A9}
84,7-018,7-018.02,JOHNSON VALLEY,JOHNSON VALLEY - UPPER JOHNSON VALLEY,SRO,{966D8DF5-6132-4D53-A773-0F45B4314632}
85,7-013,7-013.01,DEADMAN VALLEY,DEADMAN VALLEY - DEADMAN LAKE,SRO,{F2FF11D8-C082-44B0-89D9-DC7521991104}
86,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,SRO,{0AD72CA6-D08D-4E2A-8240-D8472BE2E733}
87,7-019,7-019,LUCERNE VALLEY,LUCERNE VALLEY,SRO,{E75AAF5C-8857-4A2B-AA41-E22045376242}
88,7-050,7-050,IRON RIDGE AREA,IRON RIDGE AREA,SRO,{7C92B746-D4C5-4425-A954-E70EB9B0CC57}
89,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,SRO,{6962D81C-4E11-429C-A2AA-796AA32CC094}
90,6-042,6-042,UPPER MOJAVE RIVER VALLEY,UPPER MOJAVE RIVER VALLEY,SRO,{3F91CA85-CAEB-43F3-8609-4ED86D2EDA38}
91,6-043,6-043,EL MIRAGE VALLEY,EL MIRAGE VALLEY,SRO,{B07D6E60-86DB-45F1-8430-C8AB574B0458}
92,6-089,6-089,KANE WASH AREA,KANE WASH AREA,SRO,{292C5E98-F639-4555-B777-ABC966E9B38F}
93,4-018,4-018,HUNGRY VALLEY,HUNGRY VALLEY,SRO,{211E34B3-07CF-439E-8ECB-310F11430647}
94,4-017,4-017,LOCKWOOD VALLEY,LOCKWOOD VALLEY,SRO,{8103865F-A73D-420C-8E57-DFDE7B5C84B7}
95,5-083,5-083,CUDDY RANCH AREA,CUDDY RANCH AREA,SRO,{BD19668A-B0AC-4088-89CA-BFE2D174F468}
96,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,SRO,{3916229E-C2D8-4D9F-835A-26988B04607A}
97,5-082,5-082,CUDDY CANYON VALLEY,CUDDY CANYON VALLEY,SCRO,{6088F39C-59EE-42F7-A84E-621B4D3C5FCD}
98,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,SRO,{D1554DDA-448C-4912-ACE1-175111A3F3B3}
99,5-084,5-084,CUDDY VALLEY,CUDDY VALLEY,SCRO,{3678F7FE-107A-456D-83E4-C840274C6DCF}
100,5-085,5-085,MIL POTRERO AREA,MIL POTRERO AREA,SCRO,{588160A6-EA61-4F43-BD73-9B06B571E511}
101,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,SCRO,{9D82ED9C-B85B-4FD6-9825-2776ABB74842}
102,7-014,7-014,LAVIC VALLEY,LAVIC VALLEY,SRO,{CCDAA36D-ACAD-4101-89C8-A56118D3B7D2}
103,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,SRO,{412D8353-A986-47CE-8AD7-0C9F8A87C865}
104,6-041,6-041,MIDDLE MOJAVE RIVER VALLEY,MIDDLE MOJAVE RIVER VALLEY,SRO,{09AF6366-71E6-46A1-BB6A-AD3243FF4A8E}
105,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,SRO,{43BEF26D-BF4E-4269-9513-90F3730E106E}
106,7-003,7-003,WARD VALLEY,WARD VALLEY,SRO,{46646750-1F39-4A58-AC94-84774A197D19}
107,6-040,6-040,LOWER MOJAVE RIVER VALLEY,LOWER MOJAVE RIVER VALLEY,SRO,{31BC2E08-F939-485C-A84F-B548F80AE261}
108,5-080,5-080,BRITE VALLEY,BRITE VALLEY,SCRO,{751E7EE7-4803-409C-968E-700459C2F4E0}
109,5-027,5-027,CUMMINGS VALLEY,CUMMINGS VALLEY,SCRO,{CBF36999-D3CC-4EEA-B152-8D70D72014EB}
110,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,SRO,{A90EC133-3122-452F-B857-D871CF60790D}
111,3-045,3-045,HUASNA VALLEY,HUASNA VALLEY,SCRO,{EE0E583E-4EDD-4378-99AE-007E84301480}
112,7-044,7-044,NEEDLES VALLEY,NEEDLES VALLEY,SRO,{0D2765C9-25E0-4D7F-9256-B4C39D1F3C0A}
113,5-028,5-028,TEHACHAPI VALLEY WEST,TEHACHAPI VALLEY WEST,SCRO,{D4135F76-F88A-44E0-9237-3D343894D386}
114,7-002,7-002,FENNER VALLEY,FENNER VALLEY,SRO,{267059C2-693A-4E16-98C4-7C6BC2489732}
115,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,SRO,{2D4102DE-7062-4C1A-8B81-6EB4C17D90B1}
116,3-013,3-013,CUYAMA VALLEY,CUYAMA VALLEY,SRO,{1FAF4674-A2B0-4A64-B215-B9BB8509F0A2}
117,6-045,6-045,TEHACHAPI VALLEY EAST,TEHACHAPI VALLEY EAST,SRO,{5270DE74-EC37-478D-B503-46A8CEC9E5C0}
118,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,SRO,{8FE582A7-FDCB-40B8-B934-D6BC5E7A23FC}
119,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,SCRO,{1D87919D-958A-42EF-8C06-5C482BF25F7E}
120,6-036,6-036.01,LANGFORD VALLEY,LANGFORD VALLEY - LANGFORD WELL LAKE,SRO,{008B0B8A-70A2-4D55-83E4-369DB46F05EC}
121,3-046,3-046,RAFAEL VALLEY,RAFAEL VALLEY,SCRO,{4BE18A15-9F08-4EB9-9D1D-AFC3E7B8357B}
122,3-009,3-009,SAN LUIS OBISPO VALLEY,SAN LUIS OBISPO VALLEY,SCRO,{7E6CDB5A-C630-417F-A2A0-36895A11B7CC}
123,6-036,6-036.02,LANGFORD VALLEY,LANGFORD VALLEY - IRWIN,SRO,{9D349AC1-927C-4B73-9FC1-0A0610844AB0}
124,6-031,6-031,KELSO VALLEY,KELSO VALLEY,SRO,{DDF26DB8-7FF8-44CB-A6CE-FFF5763E0E03}
125,6-047,6-047,HARPER VALLEY,HARPER VALLEY,SRO,{3FD1D372-CB59-4A6B-A103-7808A87EFF67}
126,3-043,3-043,RINCONADA VALLEY,RINCONADA VALLEY,SCRO,{BA9276E8-B8A9-4FE2-80EC-AA6FB6429BCB}
127,3-044,3-044,POZO VALLEY,POZO VALLEY,SCRO,{173EDC43-B8DF-49A6-B8CD-C3C7C0551279}
128,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,SCRO,{EE586BBC-F7FA-4B39-93FF-6F788E81D840}
129,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,SRO,{52CF7305-1EF4-48AC-BB72-44585CB8C678}
130,7-045,7-045,PIUTE VALLEY,PIUTE VALLEY,SRO,{86357C4D-53B8-4F9C-87F2-C4332FB7AD52}
131,3-041,3-041,MORRO VALLEY,MORRO VALLEY,SCRO,{9F8A470F-210A-4B61-84B5-2ECC3B3A3C57}
132,6-077,6-077,GRASS VALLEY,GRASS VALLEY,SRO,{F180EFDE-B2A0-4CF6-A786-510DE114AF2D}
133,3-040,3-040,TORO VALLEY,TORO VALLEY,SCRO,{415B180B-DF81-404E-B528-C1D6630052F9}
134,6-048,6-048,GOLDSTONE VALLEY,GOLDSTONE VALLEY,SRO,{E26B4E09-198E-4632-8803-ADE08BE37ACC}
135,6-069,6-069,KELSO LANDER VALLEY,KELSO LANDER VALLEY,SRO,{FA2111D3-2F81-4BD3-859E-8FC9576191A5}
136,6-049,6-049,SUPERIOR VALLEY,SUPERIOR VALLEY,SRO,{07E9AEAA-D4CD-4426-B04A-FCB84D280FDA}
137,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,SCRO,{D9FE5585-897C-449D-9494-A404943F6465}
138,5-026,5-026,WALKER BASIN CREEK VALLEY,WALKER BASIN CREEK VALLEY,SCRO,{802846AD-0563-4D5C-99AC-3130B71717DC}
139,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,SRO,{C9A6D4A3-7A58-4848-A342-686733FB30F6}
140,6-034,6-034,SILVER LAKE VALLEY,SILVER LAKE VALLEY,SRO,{52DDEFDD-0DD3-451D-A327-22DA3055AD11}
141,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,SCRO,{0021AFC7-0FA6-4125-93A9-4CA180015C0E}
142,7-001,7-001,LANFAIR VALLEY,LANFAIR VALLEY,SRO,{8DF8B74E-0AB0-480D-8918-4AB156BC5E7A}
143,6-046,6-046,FREMONT VALLEY,FREMONT VALLEY,SRO,{E73E385A-D65A-49DF-8E74-90799A94A891}
144,6-033,6-033,SODA LAKE VALLEY,SODA LAKE VALLEY,SRO,{58CA3886-7FE9-4AEB-9158-555855753487}
145,3-039,3-039,OLD VALLEY,OLD VALLEY,SCRO,{1F2512D7-972A-495F-B0F5-F285D1D9F38F}
146,3-037,3-037,VILLA VALLEY,VILLA VALLEY,SCRO,{50D3C74B-9136-4DA6-9451-807ECF3DAB18}
147,6-024,6-024,RED PASS VALLEY,RED PASS VALLEY,SRO,{6D3A8E11-F3AB-48F9-9F44-4C175261E828}
148,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,SRO,{6F917E6C-7D56-4C85-B440-9CF78727DAAB}
149,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,SRO,{D4487B51-BCF3-49E9-83FA-02F03248112A}
150,3-036,3-036,SANTA ROSA VALLEY,SANTA ROSA VALLEY,SCRO,{3AF95865-8A59-471B-AF77-7F54EE1F7271}
151,6-023,6-023,RIGGS VALLEY,RIGGS VALLEY,SRO,{F2B42994-AC30-4CFD-9F9E-1361A77F8875}
152,3-035,3-035,SAN SIMEON VALLEY,SAN SIMEON VALLEY,SCRO,{D6D17C5F-ECE4-4E0C-A137-BF94BE537C56}
153,6-078,6-078,DENNING SPRING VALLEY,DENNING SPRING VALLEY,SRO,{EF709312-06AD-4D15-B213-0E04CD2DE264}
154,6-051,6-051,PILOT KNOB VALLEY,PILOT KNOB VALLEY,SRO,{287419B2-A559-4A23-89F6-4EA02FD5A008}
155,6-027,6-027,LEACH VALLEY,LEACH VALLEY,SRO,{09B4CD6F-6A95-449C-AB97-E704D4F05A46}
156,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,SCRO,{8B31AD37-942E-42EE-8120-2D9B96950A83}
157,6-030,6-030,IVANPAH VALLEY,IVANPAH VALLEY,SRO,{DE920474-4183-42E1-A2A6-D1B03FFB5031}
158,6-053,6-053,SALT WELLS VALLEY,SALT WELLS VALLEY,SRO,{530698D1-3DC2-4FA5-A0C1-F72DEE668A04}
159,3-033,3-033,SAN CARPOFORO VALLEY,SAN CARPOFORO VALLEY,SCRO,{801CFF71-70AD-4F43-AB67-E564B88DBFC3}
160,6-022,6-022,UPPER KINGSTON VALLEY,UPPER KINGSTON VALLEY,SRO,{9235DC86-BE05-476B-ACE6-6B540E15EEA3}
161,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,SRO,{50661152-9066-461E-A170-9C68A0B2C10A}
162,6-021,6-021,LOWER KINGSTON VALLEY,LOWER KINGSTON VALLEY,SRO,{E9D8D350-D058-453E-B002-BFB72E4B7678}
163,6-071,6-071,LOST LAKE VALLEY,LOST LAKE VALLEY,SRO,{D970813C-782D-4E23-8EC2-BA0DE7464B7D}
164,6-088,6-088,OWL LAKE VALLEY,OWL LAKE VALLEY,SRO,{C6068955-EC26-4D9C-9FF9-8CAEF803F74F}
165,5-025,5-025,KERN RIVER VALLEY,KERN RIVER VALLEY,SCRO,{5552A853-14C0-45C5-BA5E-644AAC0035D9}
166,6-019,6-019,WINGATE VALLEY,WINGATE VALLEY,SRO,{7AAC3C76-02ED-4686-A109-49DB36D4CB92}
167,6-054,6-054,INDIAN WELLS VALLEY,INDIAN WELLS VALLEY,SRO,{9CB91DEA-9479-469E-8474-A45388FD4EA3}
168,6-052,6-052,SEARLES VALLEY,SEARLES VALLEY,SRO,{76F651DE-3C92-436A-86D9-3852E2B3C963}
169,6-029,6-029,MESQUITE VALLEY,MESQUITE VALLEY,SRO,{F2591FA0-F6B5-4062-899E-4FC4FB297586}
170,6-082,6-082,SPRING CANYON VALLEY,SPRING CANYON VALLEY,SRO,{BEB9B398-566E-4FDB-AE9F-519E0042F2B7}
171,6-086,6-086,RHODES HILL AREA,RHODES HILL AREA,SRO,{82F67C78-179D-41DE-80C3-A3F07F8EC01E}
172,6-055,6-055,COSO VALLEY,COSO VALLEY,SRO,{BE8DBA08-ACC3-476E-AE6F-F16E4F5DB493}
173,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,SRO,{982E9435-ACC3-41D3-A39F-2C9085AAE4AD}
174,6-080,6-080,MIDDLE PARK CANYON,MIDDLE PARK CANYON,SRO,{59818C13-D6DA-4A6D-B1D9-46640A759176}
175,6-073,6-073,WILD HORSE MESA AREA,WILD HORSE MESA AREA,SRO,{486B89DD-1CE2-45CD-863A-645DD2D603BF}
176,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,SRO,{F60CA1E4-09C3-4A03-8FC5-5ED34D015D03}
177,3-006,3-006,LOCKWOOD VALLEY,LOCKWOOD VALLEY,SCRO,{473F775C-8059-4552-8450-F1B74CC95787}
178,6-085,6-085,GOLD VALLEY,GOLD VALLEY,SRO,{59A0AD9F-A4A0-4DCE-B6E7-46A72144C953}
