OBJECTID,Basin_Number,Basin_Subbasin_Number,Basin_Name,Basin_Subbasin_Name,Region_Office,GlobalID
179,6-056,6-056,ROSE VALLEY,ROSE VALLEY,SRO,{686FA0FD-87C0-4C86-816A-7CC441C6FCA6}
180,6-072,6-072,COLES FLAT,COLES FLAT,SRO,{8C78C771-3783-4318-9ABA-B14433AB8982}
181,6-070,6-070,CACTUS FLAT,CACTUS FLAT,SRO,{0F0F6037-C2BD-459A-837C-ECD4D72B234C}
182,6-028,6-028,PAHRUMP VALLEY,PAHRUMP VALLEY,SRO,{9A95B6F3-6638-4259-9C97-9EEC7DCC533F}
183,6-075,6-075,WILDROSE CANYON,WILDROSE CANYON,SRO,{157A7D18-7DEA-4E11-9765-53786F871ED2}
184,3-032,3-032,PEACH TREE VALLEY,PEACH TREE VALLEY,SCRO,{9AD348AA-5DC9-407C-8191-AD522E3E3BDF}
185,6-084,6-084,GREENWATER VALLEY,GREENWATER VALLEY,SRO,{96D9D0C2-05BD-43DB-9651-5CAF6AAFA00E}
186,6-057,6-057,DARWIN VALLEY,DARWIN VALLEY,SRO,{575F26D5-6B65-42F3-893D-C0665163B9F8}
187,3-031,3-031,HERNANDEZ VALLEY,HERNANDEZ VALLEY,SCRO,{77F3A5FA-28B8-4BCC-B116-5E2F628A14D8}
188,6-068,6-068,SANTA ROSA FLAT,SANTA ROSA FLAT,SRO,{D4A7EB90-922E-4BD2-9D76-A6AE05F24BEF}
189,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,SRO,{B62893A3-1012-464A-B989-D1F878DFFA61}
190,6-074,6-074,HARRISBURG FLATS,HARRISBURG FLATS,SRO,{EE4C5C48-745B-4C80-8351-28559BD6705D}
191,3-004,3-004.04,SALINAS VALLEY,SALINAS VALLEY - FOREBAY AQUIFER,SCRO,{12EDD293-CD95-44D3-B524-F24ADDD21FB0}
192,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,SCRO,{83FDBC63-E502-45AA-B6B4-255787882A00}
193,6-058,6-058,PANAMINT VALLEY,PANAMINT VALLEY,SRO,{45490BBF-F0A2-48A9-AB2E-90D7BA614B36}
194,5-071,5-071,VALLECITOS CREEK VALLEY,VALLECITOS CREEK VALLEY,SCRO,{DCF2BE3D-5BBD-4A80-ADD4-70A4B7486941}
195,5-022,5-022.11,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - KAWEAH,SCRO,{C20665B5-35DA-43CF-99FA-BA4F7A35E20A}
196,3-029,3-029,DRY LAKE VALLEY,DRY LAKE VALLEY,SCRO,{E4F0A29C-C9CF-4931-9B74-C407316F01CC}
197,6-065,6-065,COTTONWOOD SPRING AREA,COTTONWOOD SPRING AREA,SRO,{5E8A63AC-73C4-4675-A61D-74754ED33A93}
198,6-066,6-066,LEE FLAT,LEE FLAT,SRO,{1F4BD012-9C53-4F6C-9E8A-81EFCEEA0AFC}
199,3-004,3-004.10,SALINAS VALLEY,SALINAS VALLEY - MONTEREY,SCRO,{BC1135D6-A2D7-4C14-88EA-C309A001C793}
200,6-064,6-064,MARBLE CANYON AREA,MARBLE CANYON AREA,SRO,{CCB0BDD0-BAFC-4B16-AD40-C42DD3C01BA9}
201,6-020,6-020,MIDDLE AMARGOSA VALLEY,MIDDLE AMARGOSA VALLEY,SRO,{802824DE-22DF-4236-9647-A2A3FC75087D}
202,5-023,5-023,PANOCHE VALLEY,PANOCHE VALLEY,SCRO,{B54E1DBF-4C19-40C7-AA30-CE63155DAF36}
203,3-028,3-028,SAN BENITO RIVER VALLEY,SAN BENITO RIVER VALLEY,SCRO,{615C7A2B-696A-4A99-BF5B-07DD5DF7F48E}
204,3-004,3-004.02,SALINAS VALLEY,SALINAS VALLEY - EAST SIDE AQUIFER,SCRO,{DC91E02D-FB7D-4F36-AF9C-E3BDDCDD47DC}
205,6-063,6-063,HIDDEN VALLEY,HIDDEN VALLEY,SRO,{B022F85A-5A67-478A-8F5D-D88587ED5D67}
206,5-022,5-022.09,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - WESTSIDE,SCRO,{FCA9E341-3E79-44B1-BD92-7831CA35E991}
207,3-023,3-023,UPPER SANTA ANA VALLEY,UPPER SANTA ANA VALLEY,SCRO,{95E93A3B-5C30-4D66-818E-3FC563DF25CD}
208,6-062,6-062,RACE TRACK VALLEY,RACE TRACK VALLEY,SRO,{77BC53F5-E779-4A1E-8FB0-5CC80156A622}
209,3-004,3-004.09,SALINAS VALLEY,SALINAS VALLEY - LANGLEY AREA,SCRO,{2468D28E-9D96-4C50-AE98-166E390025DE}
210,3-022,3-022,SANTA ANA VALLEY,SANTA ANA VALLEY,SCRO,{FCC92C1E-EB06-4C7C-9722-8ADBD59C6C14}
211,6-061,6-061,CAMEO AREA,CAMEO AREA,SRO,{8DCBF125-19E0-4117-928E-C033DADCAD9F}
212,3-024,3-024,QUIEN SABE VALLEY,QUIEN SABE VALLEY,SCRO,{D83E49A6-B55F-4BA3-9428-D83590BF2CF8}
213,3-051,3-051,MAJORS CREEK,MAJORS CREEK,SCRO,{BD490A47-90B2-4A80-ADD6-BBADF4072EB8}
214,5-070,5-070,LOS BANOS CREEK VALLEY,LOS BANOS CREEK VALLEY,SCRO,{82F29DD9-01E4-4121-90F8-D6CD251BB75C}
215,6-017,6-017,SALINE VALLEY,SALINE VALLEY,SRO,{DB5B79E0-79DF-4F80-8A32-6085360BE597}
216,3-020,3-020,AÑO NUEVO AREA,AÑO NUEVO AREA,SCRO,{F7A9E30C-E83A-4A81-992E-F825EB34AD09}
217,2-026,2-026,PESCADERO VALLEY,PESCADERO VALLEY,NCRO,{0DD417C0-9013-457F-AE68-F9C77CB219E7}
218,6-018,6-018,DEATH VALLEY,DEATH VALLEY,SRO,{05C3AADE-FDA4-4F2C-B9BA-1D8087365BB1}
219,2-024,2-024,SAN GREGORIO VALLEY,SAN GREGORIO VALLEY,NCRO,{3D2871CE-957C-48FF-8A90-FB96A40CF279}
220,6-015,6-015,DEEP SPRINGS VALLEY,DEEP SPRINGS VALLEY,SRO,{78C4597F-4D49-4652-8624-02EDD0D22ADF}
221,6-016,6-016,EUREKA VALLEY,EUREKA VALLEY,SRO,{B49EB7CB-E72B-424A-8D05-42E79690B7CC}
222,2-022,2-022,HALF MOON BAY TERRACE,HALF MOON BAY TERRACE,NCRO,{305FE04A-2201-4CC5-A230-AAA712555986}
223,2-036,2-036,SAN PEDRO VALLEY,SAN PEDRO VALLEY,NCRO,{5B3F433A-3C62-4D9D-BFB4-0093F3C260CE}
224,2-011,2-011,SUNOL VALLEY,SUNOL VALLEY,NCRO,{2E4ADAEA-6B08-4F6C-8F3C-13F2DEF76D58}
225,6-014,6-014,FISH LAKE VALLEY,FISH LAKE VALLEY,SRO,{5FC47093-9774-443E-8909-FAB3E266A26C}
226,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,NCRO,{6AE425D7-C9AD-4FF0-A34C-5FA0E9D5AECC}
227,2-032,2-032,VISITACION VALLEY,VISITACION VALLEY,NCRO,{F2D21240-2354-4682-B43E-F8BA2C642FB7}
228,2-037,2-037,SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,NCRO,{25D6F608-B11D-4BF2-A0D3-63E4B0F3CD1D}
229,5-069,5-069,YOSEMITE VALLEY,YOSEMITE VALLEY,SCRO,{940F19B1-E190-4B59-A4B9-BCB3D939CF47}
230,6-011,6-011,LONG VALLEY,LONG VALLEY,SRO,{3BB2CDC0-309F-4A7C-818E-F9AC3D178B31}
231,2-033,2-033,ISLAIS VALLEY,ISLAIS VALLEY,NCRO,{ABAF6842-E418-45C1-9234-4F5E34993018}
232,2-010,2-010,LIVERMORE VALLEY,LIVERMORE VALLEY,NCRO,{5200FFEE-1B47-4DCF-88E0-2FE84CDC93AF}
233,2-035,2-035,WESTSIDE,WESTSIDE,NCRO,{BD8A939E-C945-4A6D-AD01-55FD68E84CBE}
234,2-038,2-038,LOBOS,LOBOS,NCRO,{EADC682A-00D1-4A40-AFD4-1876B1BB177B}
235,2-040,2-040,DOWNTOWN,DOWNTOWN,NCRO,{69299FA1-007D-4FF5-8C12-29AC53A4A604}
236,2-039,2-039,MARINA,MARINA,NCRO,{FC8FCD16-FD16-44D5-B03B-5BA0258E2B92}
237,5-022,5-022.02,SAN JOAQUIN VALLEY,SAN JOAQUIN VALLEY - MODESTO,SCRO,{D751A96B-0B86-4BFC-969C-8A234620F328}
238,2-007,2-007,SAN RAMON VALLEY,SAN RAMON VALLEY,NCRO,{2EC3F7DD-6BC3-4C6B-BAB1-410F40FFE0C0}
239,2-028,2-028,ROSS VALLEY,ROSS VALLEY,NCRO,{5407D6F4-430D-4B20-BAE1-D5CB8270D938}
240,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,SRO,{DFCF779C-CF0D-4845-A68C-4937A0ABFB07}
241,2-029,2-029,SAN RAFAEL VALLEY,SAN RAFAEL VALLEY,NCRO,{47D7B069-C76F-4319-AA18-9258D662B20F}
242,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,NCRO,{220C017C-4B44-46AA-BBD0-612E3500E4FC}
243,2-006,2-006,YGNACIO VALLEY,YGNACIO VALLEY,NCRO,{4A9365AC-67C1-4B4E-8C28-3DF1E01ADC6B}
244,2-004,2-004,PITTSBURG PLAIN,PITTSBURG PLAIN,NCRO,{C58E2F88-5693-4E09-847F-38B35B620E7A}
245,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,NCRO,{CA0B5477-B460-4303-A474-2A96982F0BEC}
246,6-009,6-009,MONO VALLEY,MONO VALLEY,SRO,{C7F3FF51-CFDB-4368-9199-E96866549B55}
247,2-030,2-030,NOVATO VALLEY,NOVATO VALLEY,NCRO,{62D715E2-0234-4CDA-B3FA-9D3B0653F070}
248,2-003,2-003,SUISUN-FAIRFIELD VALLEY,SUISUN-FAIRFIELD VALLEY,NCRO,{04C881C2-54DD-4A34-BE3D-A9B741CB231A}
249,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,NCRO,{8E678407-B9A9-4796-B3BF-29AC350B2686}
250,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,NCRO,{F4EDFFE0-86C4-4F46-817F-3064338ED425}
251,6-107,6-107,SWEETWATER FLAT,SWEETWATER FLAT,NCRO,{936C04CC-F4A6-4B30-BCBD-1226EA3AEEA4}
252,1-061,1-061,FORT ROSS TERRACE DEPOSITS,FORT ROSS TERRACE DEPOSITS,NCRO,{2E6320B0-3C5F-4A86-B811-FB0F6830AAB4}
253,2-019,2-019,KENWOOD VALLEY,KENWOOD VALLEY,NCRO,{DBEC6D90-033D-486F-A76B-4F04C44348B5}
254,6-106,6-106,LITTLE ANTELOPE VALLEY,LITTLE ANTELOPE VALLEY,NCRO,{B8622113-35B3-4156-A54F-7149F713BE9F}
255,1-055,1-055.03,SANTA ROSA VALLEY,SANTA ROSA VALLEY - RINCON VALLEY,NCRO,{57071078-3635-4B69-B769-45D7CA66A99D}
256,1-060,1-060,LOWER RUSSIAN RIVER VALLEY,LOWER RUSSIAN RIVER VALLEY,NCRO,{3D2015CA-817F-4FB9-A373-BE612A34D5A2}
257,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,NCRO,{7408F1E8-D3DD-49E0-BA91-EAB75E4A549D}
258,2-002,2-002.01,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA VALLEY,NCRO,{1AEA463F-914A-4721-92BE-38767D4769F9}
259,6-105,6-105,SLINKARD VALLEY,SLINKARD VALLEY,NCRO,{3FB5E076-0F6F-485C-B553-58A3104117AE}
260,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,NCRO,{4D90B15A-5F27-4549-A971-814BC86CD77D}
261,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,NCRO,{A113829D-1035-44FB-B7E8-A3EC31CACFAF}
262,5-068,5-068,POPE VALLEY,POPE VALLEY,NCRO,{FA0015A0-7BEF-4362-8857-7481C3AB051F}
263,1-050,1-050,KNIGHTS VALLEY,KNIGHTS VALLEY,NCRO,{AD486148-792C-4C22-8120-177CD3EC0835}
264,1-055,1-055.02,SANTA ROSA VALLEY,SANTA ROSA VALLEY - HEALDSBURG AREA,NCRO,{E05AD307-D00E-4D34-8125-8E1319ADDAC8}
265,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,NCRO,{114F2294-2C6D-466E-B4FE-B52B524C7FB9}
266,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,NCRO,{7478E371-1062-4487-A282-88A72D9AB7C7}
267,6-006,6-006,CARSON VALLEY,CARSON VALLEY,NCRO,{003BE2EC-CC70-4FE4-BBF3-92872A93FCA0}
268,1-054,1-054.02,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,NCRO,{1D5507FA-3556-4775-9B64-AF83AA56862E}
269,5-030,5-030,LOWER LAKE VALLEY,LOWER LAKE VALLEY,NRO,{1BB8E0F1-64F9-4039-BC38-3B995C9335E1}
270,1-021,1-021,FORT BRAGG TERRACE AREA,FORT BRAGG TERRACE AREA,NCRO,{886A9BFD-4D11-40DB-9424-8D2A11CE70F5}
271,1-056,1-056,McDOWELL VALLEY,McDOWELL VALLEY,NCRO,{6D593432-A1F4-4C42-A202-230246F64D04}
272,5-017,5-017,BURNS VALLEY,BURNS VALLEY,NRO,{30400FB8-6E01-41EF-A82D-1884590BC77C}
273,1-020,1-020,GARCIA RIVER VALLEY,GARCIA RIVER VALLEY,NCRO,{BDDCEDEE-BC32-4F0E-A3DE-1E7FB09493D5}
274,5-015,5-015,BIG VALLEY,BIG VALLEY,NRO,{52980422-33B6-4BF3-9C4C-019F939C0D1E}
275,1-053,1-053,SANEL VALLEY,SANEL VALLEY,NCRO,{DD1C0AAE-F31A-4345-9D5E-93FB8D6C79D1}
276,5-016,5-016,HIGH VALLEY,HIGH VALLEY,NRO,{A7282D32-41FE-44E6-AD3E-20A796BD0B4B}
277,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,NRO,{D9634E9A-BBBF-4B96-95B5-E113E81C8EAB}
278,5-014,5-014,SCOTTS VALLEY,SCOTTS VALLEY,NRO,{B0532BC8-16B0-4BE2-94B9-52AE40390201}
279,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,NCRO,{07B1AB46-55DF-46CA-83EF-C5D902D601DF}
280,5-031,5-031,LONG VALLEY,LONG VALLEY,NRO,{F680B52D-CBF6-4F5D-A2FD-A435C81CF49B}
281,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,NRO,{181430DD-4820-4D39-8777-4AF3FE853D19}
282,6-005,6-005.02,TAHOE VALLEY,TAHOE VALLEY - TAHOE WEST,NCRO,{65CCF116-3EB7-442E-A4C8-BFECA57E08BF}
283,6-108,6-108,OLYMPIC VALLEY,OLYMPIC VALLEY,NCRO,{B29C3B74-F99A-4E0B-BB73-8B2ED4FCA70A}
284,5-013,5-013,UPPER LAKE VALLEY,UPPER LAKE VALLEY,NRO,{F03CCD9D-4149-46B1-9B24-615774407B52}
285,1-046,1-046,NAVARRO RIVER VALLEY,NAVARRO RIVER VALLEY,NCRO,{07F5E02A-D3B9-4E68-AC97-48907701A6AC}
286,5-064,5-064,BEAR VALLEY,BEAR VALLEY,NRO,{2F3B5064-4735-4504-B004-9B920E510FB6}
287,6-005,6-005.03,TAHOE VALLEY,TAHOE VALLEY - TAHOE NORTH,NCRO,{9DE9C35A-6241-4CB1-A9BF-44059B77308E}
288,5-094,5-094,MIDDLE CREEK,MIDDLE CREEK,NRO,{F63C5B5D-D0E6-405C-8748-E6461E519224}
289,5-065,5-065,LITTLE INDIAN VALLEY,LITTLE INDIAN VALLEY,NRO,{E788356D-8FC4-4FE6-B4A3-3AE65C101B40}
290,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,NRO,{AD215602-F04E-48FB-B337-39E524F3E7CC}
291,1-052,1-052,UKIAH VALLEY,UKIAH VALLEY,NCRO,{81DB2E9C-8EB6-4B84-AC86-D089300E81B4}
292,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,NCRO,{EEBAF49C-2F10-4740-983A-E8F7B01EFB7F}
293,1-051,1-051,POTTER VALLEY,POTTER VALLEY,NCRO,{B14D3E0A-D4D2-4B98-AE37-99F4BD905583}
294,6-067,6-067,MARTIS VALLEY,MARTIS VALLEY,NCRO,{F17257CE-6E2A-47E5-ABB0-8B0AF44927C2}
295,5-090,5-090,FUNKS CREEK,FUNKS CREEK,NRO,{E5A1A506-32AD-4649-9DC2-24613A013DBD}
296,5-063,5-063,STONYFORD TOWN AREA,STONYFORD TOWN AREA,NRO,{69672D9D-5B7E-49B5-B39D-BC617106B8EE}
297,1-048,1-048,GRAVELLY VALLEY,GRAVELLY VALLEY,NRO,{F8CC0461-095A-4472-99F0-96F9B34E7411}
298,1-013,1-013,LITTLE LAKE VALLEY,LITTLE LAKE VALLEY,NRO,{77A958FC-F457-4B9E-87A3-39BA881E42FF}
299,5-089,5-089,SQUAW FLAT,SQUAW FLAT,NRO,{8998394F-DE1F-4764-9B02-7600159362D1}
300,5-088,5-088,STONY GORGE RESERVOIR,STONY GORGE RESERVOIR,NRO,{950B2518-883A-4563-854C-E567798E4974}
301,1-041,1-041,LITTLE VALLEY,LITTLE VALLEY,NCRO,{C35A8CA4-4E39-49C9-8236-752E2A810D93}
302,1-042,1-042,SHERWOOD VALLEY,SHERWOOD VALLEY,NRO,{2C0B166E-598B-4325-8777-70B37C2A5B9F}
303,1-040,1-040,TEN MILE RIVER VALLEY,TEN MILE RIVER VALLEY,NCRO,{232F89C5-3D39-43E9-BC54-114CD128C2C7}
304,5-062,5-062,ELK CREEK AREA,ELK CREEK AREA,NRO,{0A4D46A4-99BC-45F0-871D-C108AE84BB50}
305,1-044,1-044,EDEN VALLEY,EDEN VALLEY,NRO,{23173A3C-EAE7-4A5A-AFC3-09BED80A141E}
306,1-012,1-012,LAYTONVILLE VALLEY,LAYTONVILLE VALLEY,NRO,{1B491C78-89C9-4366-B70A-12564E7B9570}
307,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,NRO,{81736213-B21A-44F6-A9B6-8BFEC99476C5}
308,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,NRO,{991CE496-122B-4EDF-899F-11EFC839F515}
309,1-038,1-038,LOWER LAYTONVILLE VALLEY,LOWER LAYTONVILLE VALLEY,NRO,{EC0BEF05-09EE-4F7C-A48C-20485A84CDC8}
310,5-011,5-011,MOHAWK VALLEY,MOHAWK VALLEY,NRO,{D8951171-C1F9-4FFA-B9C9-BE7C4BEDBFEC}
311,5-060,5-060,HUMBUG VALLEY,HUMBUG VALLEY,NRO,{FAE8037C-CBAD-45D9-BBE0-DBFEED9021AF}
312,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,NCRO,{8928EC7F-14CD-49C5-93B0-18B6544AC6FB}
313,5-012,5-012.02,SIERRA VALLEY,SIERRA VALLEY - CHILCOOT,NRO,{41866CD4-1B17-475D-8752-89781039BA57}
314,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,NRO,{212BBA5D-5DEB-4BBA-8097-E07E04817E05}
315,5-087,5-087,MIDDLE FORK FEATHER RIVER,MIDDLE FORK FEATHER RIVER,NRO,{B1F50B37-A0AA-4C2F-8530-08500115FA44}
316,1-043,1-043,WILLIAMS VALLEY,WILLIAMS VALLEY,NRO,{B56559C4-F1E8-496E-9049-7C47B0BBC339}
317,6-104,6-104,LONG VALLEY,LONG VALLEY,NRO,{22804864-5DA5-48B2-93E3-E0204A7280B2}
318,5-059,5-059,GRIZZLY VALLEY,GRIZZLY VALLEY,NRO,{B98F05B4-45A6-43A9-B1E4-58F2AE705A82}
319,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,NRO,{D1A0B240-B3B1-4713-981B-7C901B721916}
320,5-095,5-095,MEADOW VALLEY,MEADOW VALLEY,NRO,{F937E2E2-DD3C-41E4-A9F8-06F114079AC2}
321,5-009,5-009,INDIAN VALLEY,INDIAN VALLEY,NRO,{ED5915B0-4C9C-4E5A-B853-B0036BAF639B}
322,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,NRO,{93939AF2-14CF-4ABD-8608-6C7CCBC08145}
323,5-057,5-057,LAST CHANCE CREEK VALLEY,LAST CHANCE CREEK VALLEY,NRO,{A50818E1-847B-4708-B5F8-0A54C84E7B70}
324,5-056,5-056,YELLOW CREEK VALLEY,YELLOW CREEK VALLEY,NRO,{8E901762-64E4-4548-B53E-ACE029AAAE71}
325,1-032,1-032,GARBERVILLE TOWN AREA,GARBERVILLE TOWN AREA,NRO,{D2F2CF08-C996-4890-A052-2E9AC8669B0D}
326,5-021,5-021.54,SACRAMENTO VALLEY,SACRAMENTO VALLEY - ANTELOPE,NRO,{0BB2B918-C169-4B58-A6B2-DAFFCEC922AA}
327,5-008,5-008,MOUNTAIN MEADOWS VALLEY,MOUNTAIN MEADOWS VALLEY,NRO,{389C6BC4-0FA0-44AC-81CA-6BA30DAA547A}
328,5-021,5-021.50,SACRAMENTO VALLEY,SACRAMENTO VALLEY - RED BLUFF,NRO,{AE0704C4-6386-4A2A-9BD8-2F83CC007563}
329,1-029,1-029,HONEYDEW TOWN AREA,HONEYDEW TOWN AREA,NRO,{D330E3AF-3506-4ACF-97E4-87F59585653A}
330,1-036,1-036,HETTENSHAW VALLEY,HETTENSHAW VALLEY,NRO,{352986F8-9FBD-4867-8859-FA52F833AD19}
331,5-021,5-021.53,SACRAMENTO VALLEY,SACRAMENTO VALLEY - BEND,NRO,{7D3A2D08-59EB-4169-AD1E-8FA2885078D0}
332,5-007,5-007,LAKE ALMANOR VALLEY,LAKE ALMANOR VALLEY,NRO,{E5ACD08E-F0A1-4C4C-BEB9-78B4E7020879}
333,1-028,1-028,MATTOLE RIVER VALLEY,MATTOLE RIVER VALLEY,NRO,{56B10AB6-D67A-42A6-84C7-A051643C659D}
334,1-031,1-031,WEOTT TOWN AREA,WEOTT TOWN AREA,NRO,{396E71B0-064F-4AE7-A9EA-363EB0FBC0F8}
335,6-004,6-004,HONEY LAKE VALLEY,HONEY LAKE VALLEY,NRO,{61B0E390-3364-4519-BD7A-1C1ADCE0B120}
336,1-062,1-062,WILSON POINT AREA,WILSON POINT AREA,NRO,{2700133D-7101-4187-816C-0652A856FA8E}
337,1-033,1-033,LARABEE VALLEY,LARABEE VALLEY,NRO,{21FC8B48-A432-48AC-80E0-2112782B2521}
338,1-030,1-030,PEPPERWOOD TOWN AREA,PEPPERWOOD TOWN AREA,NRO,{51579DD3-5ECA-47CB-A22E-1118EF3FF884}
339,1-034,1-034,DINSMORES TOWN AREA,DINSMORES TOWN AREA,NRO,{2C68933F-D5F3-4A19-A0D1-94BD2D44E1AA}
340,6-003,6-003,WILLOW CREEK VALLEY,WILLOW CREEK VALLEY,NRO,{77321372-9B86-4639-A3BA-334C35F4E523}
341,5-050,5-050,NORTH FORK BATTLE CREEK,NORTH FORK BATTLE CREEK,NRO,{C64F325D-EA08-4D69-B462-EE3CB979AB36}
342,5-006,5-006.03,REDDING AREA,REDDING AREA - ANDERSON,NRO,{2061200F-34C3-494C-9565-D56865CD8B6D}
343,6-100,6-100,SECRET VALLEY,SECRET VALLEY,NRO,{D759CE05-0DDF-4F25-9A09-1F4F88A1B6DE}
344,1-006,1-006,HAYFORK VALLEY,HAYFORK VALLEY,NRO,{C76BD754-7C53-4733-8FBC-EAE12A6A4D6E}
345,6-101,6-101,BULL FLAT,BULL FLAT,NRO,{BA6E9E45-83C4-4933-87CD-0E2C175C965D}
346,6-092,6-092,PINE CREEK VALLEY,PINE CREEK VALLEY,NRO,{1D05D334-1DB0-4AA1-BD17-AB47ECDAF349}
347,6-097,6-097,HORSE LAKE VALLEY,HORSE LAKE VALLEY,NRO,{7694ACDD-2F2C-4382-A120-90ABE83E9436}
348,5-052,5-052,GRAYS VALLEY,GRAYS VALLEY,NRO,{FA7A457D-143F-43C2-92F9-05800A4ED7F2}
349,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,NRO,{47F8B4DF-A12E-4AAC-8E1F-B78F9AC06E9A}
350,1-035,1-035,HYAMPOM VALLEY,HYAMPOM VALLEY,NRO,{1A9F36A7-93F2-49BA-9F66-0AE59505F817}
351,5-006,5-006.04,REDDING AREA,REDDING AREA - ENTERPRISE,NRO,{16625BED-FFD4-4E5E-91AD-04823E914BA2}
352,6-096,6-096,EAGLE LAKE AREA,EAGLE LAKE AREA,NRO,{AC02110F-2E7A-4ADA-B912-F3E836520728}
353,6-093,6-093,HARVEY VALLEY,HARVEY VALLEY,NRO,{98DE8E77-7EB1-4782-BA37-D2C6F43E91EF}
354,5-049,5-049,DRY BURNEY CREEK VALLEY,DRY BURNEY CREEK VALLEY,NRO,{C2A1FD88-942B-4854-A245-E49AD2B0B81F}
355,6-099,6-099,PAINTERS FLAT,PAINTERS FLAT,NRO,{4BD61A79-A686-4EBD-82D4-477FAD9EC390}
